Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
B,B,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1435.0,0,1,0,1,3.0
D,D,GRD,College of Arts and Sciences - Business Economics/Criminal Justice (Minor),Junior,Fall 2021 1,1445.0,0,1,0,0,1.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 1,1454.0,1,0,0,0,2.3
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,Fall 2021 1,1479.0,0,1,0,0,3.3
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1496.0,1,0,0,1,3.7
B-,B-,GRD,"College of Arts and Sciences - Business Economics/EmerPrep,HomeldSec&Cybsec(Min)",Senior,Fall 2021 1,1503.0,1,0,0,0,2.7
C,C,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1504.0,0,1,0,1,2.0
B+,B+,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1507.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/History (Minor)/Political Science (Minor),Senior,Fall 2021 1,1525.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Psychology (Minor),Senior,Fall 2021 1,1529.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/English (Minor),Junior,Fall 2021 1,1544.0,0,1,0,1,4.0
C,C,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1551.0,1,0,0,1,2.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,Fall 2021 1,1552.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication,Senior,Fall 2021 1,1569.0,1,0,0,1,3.7
A,A,GRD,Business Administration - Business Administration/Urban Std & Planning (Minor),Junior,Fall 2021 1,1575.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1577.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 1,1587.0,1,0,0,0,4.0
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1593.0,1,0,0,1,3.3
C+,C+,GRD,Business Administration - Accounting/Business (Minor)/Internat Studies (Minor),Senior,Fall 2021 1,1594.0,1,0,0,1,2.3
B+,B+,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1600.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1621.0,1,0,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1631.0,0,1,0,1,3.0
B-,B-,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1641.0,1,0,0,1,2.7
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 1,1678.0,1,0,0,0,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1680.0,0,1,0,1,3.3
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,Fall 2021 1,1683.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1689.0,0,1,0,1,4.0
C+,C+,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1693.0,0,1,0,1,2.3
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1697.0,1,0,0,1,2.7
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Junior,Fall 2021 1,1699.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1712.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration/Economics (Minor),Senior,Fall 2021 1,1745.0,1,0,0,1,3.3
C-,C-,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Junior,Fall 2021 1,1748.0,0,1,0,0,1.7
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1750.0,1,0,0,1,3.7
C+,C+,GRD,College of Arts and Sciences - Business Economics/History (Minor),Senior,Fall 2021 1,1773.0,1,0,0,0,2.3
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 1,1784.0,0,1,0,0,2.3
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,Fall 2021 1,1818.0,0,1,0,1,3.3
