StudentID,AvgSecsOnCapstoneTask,AvgCapstoneScore,AvgNumAttempts
1494.0,2397.88,0.94,1.38
1495.0,18.29,0.7,1.43
1496.0,13.75,0.88,1.0
1497.0,13.4,0.94,1.2
1498.0,17.0,0.9,1.12
1499.0,16.5,0.85,1.12
1500.0,17.88,0.9,1.25
1501.0,13.57,0.97,1.86
1502.0,13.75,0.94,1.12
1503.0,13.17,0.86,1.0
1504.0,10.5,1.0,1.5
1505.0,18.14,0.6,1.0
1506.0,18.0,0.96,1.88
1507.0,15.0,0.92,1.0
1508.0,169.12,0.99,1.38
1509.0,21.5,0.87,1.0
1510.0,16.62,0.81,1.0
1511.0,16.75,0.92,2.0
1512.0,15.33,0.95,1.11
1513.0,13.88,0.96,1.12
1514.0,15.46,0.91,1.69
1515.0,17.43,0.88,1.71
1516.0,18.88,0.94,1.75
1517.0,20.12,0.89,1.88
1518.0,16.62,0.99,2.12
1519.0,19.12,0.94,1.0
1520.0,19.5,0.84,1.25
1521.0,18.43,0.68,1.0
1522.0,2747.0,0.94,1.29
1523.0,22.5,0.9,1.0
1524.0,23.29,0.88,1.29
1525.0,13.62,0.93,1.38
1526.0,6289.0,0.95,1.38
1527.0,138.6,0.64,1.0
1528.0,13.88,0.89,1.0
1529.0,5036.38,0.83,1.62
1530.0,21.88,0.91,1.12
1531.0,18.38,0.73,1.0
1532.0,19.62,0.96,1.62
1533.0,15.57,0.92,1.57
1534.0,19.5,0.97,1.38
1535.0,20.38,0.94,1.0
1536.0,13.75,0.99,1.25
1537.0,17.62,1.0,1.38
1538.0,15.88,0.74,1.25
1539.0,18.0,0.99,2.12
1540.0,27.33,0.93,1.17
1541.0,17.17,0.76,1.0
1542.0,16.17,0.97,2.0
1543.0,18.67,0.71,1.0
1544.0,13.0,0.89,1.38
1545.0,17.12,0.88,1.12
1546.0,19.0,0.92,1.17
1547.0,20.86,0.75,1.0
1548.0,17.43,0.86,1.0
1550.0,21.17,0.88,1.0
1551.0,17.12,0.96,1.25
1552.0,15.44,0.97,1.78
1553.0,17.12,0.96,2.12
1554.0,18.5,0.87,1.25
1555.0,17.75,0.68,1.0
1556.0,16.38,0.85,1.38
1557.0,15.67,0.95,1.17
1558.0,18.83,0.85,1.33
1559.0,19.75,0.94,1.38
1560.0,16.62,0.95,1.38
1561.0,16.5,0.68,1.0
1562.0,16.62,0.96,1.88
1564.0,14.0,0.53,1.0
1565.0,17.5,0.93,1.12
1566.0,16.0,0.92,1.12
1568.0,18.5,0.95,1.62
1569.0,15.12,0.94,1.0
1570.0,17.71,0.91,1.29
1572.0,13.88,0.87,1.88
1574.0,18.25,0.89,1.0
1575.0,13.38,0.91,1.0
1576.0,20.88,0.88,1.25
1577.0,17.38,0.93,1.12
1578.0,62.54,0.74,1.0
1579.0,17.0,0.96,1.0
1580.0,17.5,0.96,1.88
1582.0,18.0,0.66,1.2
1583.0,18.71,0.92,1.0
1584.0,18.25,0.95,1.0
1585.0,22.0,0.95,1.12
1586.0,17.25,0.92,1.38
1587.0,23.14,0.86,1.0
1588.0,15.57,0.76,1.14
1589.0,14.71,0.91,1.0
1590.0,18.5,0.97,2.33
1591.0,18.12,0.85,1.12
1592.0,18.75,0.86,1.0
1593.0,12.62,0.79,1.5
1594.0,14.86,0.75,1.0
1595.0,13.75,0.89,1.12
1596.0,16.71,0.83,1.0
1597.0,17.67,0.95,1.0
1598.0,17.14,0.87,1.0
1599.0,16.43,0.94,1.14
1600.0,14.0,0.78,1.12
1601.0,17.12,0.95,1.88
1602.0,18.88,0.79,1.0
1603.0,14.2,0.93,1.0
1604.0,16.25,0.97,1.75
1605.0,20.57,0.91,1.43
1606.0,27.0,0.99,1.12
1607.0,20.12,0.74,1.38
1608.0,16.75,0.74,1.0
1609.0,18.62,0.98,1.38
1610.0,20.75,0.72,1.0
1611.0,15.12,0.92,1.0
1612.0,16.71,0.83,1.29
1613.0,6167.62,0.85,1.88
1614.0,18.38,0.92,1.25
1615.0,18.0,0.85,1.0
1616.0,18.5,0.9,1.0
1617.0,18.0,0.83,1.0
1618.0,23.14,0.95,1.0
1619.0,21.25,0.73,1.0
1620.0,16.5,0.97,1.5
1621.0,6155.14,0.94,1.0
1622.0,19.62,0.9,1.25
1624.0,17.75,0.83,1.0
