Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1741
A-,A-,GRD,Business Administration - Business Administration/Legal Studies (Minor),Junior,2022 - spring,1257
A,A,GRD,Business Administration - Accounting/Business Administration,Senior,2022 - spring,2042
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1194
A-,A-,GRD,Business Administration - Accounting/Business (Minor)/Communication (Minor),Senior,2022 - spring,1366
A,A,GRD,Coll Engineering & Applied Sci - Comp Science & Applied Math/Business (Minor)/Informatics (Minor)/,Junior,2022 - spring,1787
A,A,GRD,Business Administration - Business Administration/Music (Minor),Junior,2022 - spring,1869
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2022 - spring,2031
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1151
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2022 - spring,1070
B-,B-,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Junior,2022 - spring,1360
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1645
A,A,GRD,Business Administration - Business Administration/Communication (Minor)/Theatre (Minor),Junior,2022 - spring,2021
B+,B+,GRD,Business Administration - Business Administration,Junior,2022 - spring,2051
A,A,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,2022 - spring,1988
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1436
A-,A-,GRD,Business Administration - Business Administration/Economics (Minor),Senior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2022 - spring,1724
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Leadership (Minor),Junior,2022 - spring,2057
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1649
A,A,GRD,Business Administration - Business Administration/Creative Writing (Minor),Junior,2022 - spring,1148
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Public Health,Junior,2022 - spring,1023
A-,A-,GRD,Business Administration - Business Administration/French (Minor),Junior,2022 - spring,1062
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1652
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Senior,2022 - spring,1658
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1203
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,2022 - spring,1842
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1885
D-,D-,GRD,Business Administration - Business Administration,Senior,2022 - spring,1129
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1446
E,E,GRD,College of Arts and Sciences - Psychology/Business (Minor),Senior,2022 - spring,1805
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,2043
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2022 - spring,1113
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1675
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1124
A,A,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,2022 - spring,1202
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2022 - spring,1461
C-,C-,GRD,Business Administration - Business Administration,Junior,2022 - spring,1108
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1942
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor)/Economics (Minor),Junior,2022 - spring,1178
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Senior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1238
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2022 - spring,1913
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1346
A,A,GRD,Business Administration - Accounting/Business Administration/Psychology (Minor),Senior,2022 - spring,1304
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2022 - spring,1499
,W,WDN,Business Administration - Business Administration,Junior,2022 - spring,1447
A,A,GRD,Business Administration - Accounting/Business (Minor)/Economics (Minor),Senior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,2071
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1132
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1159
C,C,GRD,College of Arts and Sciences - Business Economics/Communication (Minor),Junior,2022 - spring,
C,C,GRD,Business Administration - Business Administration/Spanish (Minor),Junior,2022 - spring,
B-,B-,GRD,Business Administration - Business Administration,Junior,2022 - spring,1109
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1778
D,D,GRD,Business Administration - Business Administration/Computer Science (Minor),Senior,2022 - spring,1169
B+,B+,GRD,Business Administration - Business Administration,Junior,2022 - spring,1179
C,C,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,1003
,W,WDN,Business Administration - Business Administration,Senior,2022 - spring,1110
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1399
A,A,GRD,College of Arts and Sciences - Economics/Informatics (Minor)/Japanese Studies (Minor),Senior,2022 - spring,1825
D,D,GRD,Business Administration - Business Administration,Senior,2022 - spring,1915
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1342
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Senior,2022 - spring,1729
A-,A-,GRD,Business Administration - Business Administration,Senior,2022 - spring,1565
D,D,GRD,Intended - Accounting (intended),Junior,2022 - spring,1237
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1931
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1326
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1274
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor)/Political Science (Minor),Senior,2022 - spring,1131
A,A,GRD,Business Administration - Business Administration/Geographic Info Science(Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1276
A,A,GRD,Business Administration - Business Administration/Journalism (Minor),Junior,2022 - spring,1665
B+,B+,GRD,Business Administration - Business Administration,Junior,2022 - spring,1893
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1170
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1406
A,A,GRD,Business Administration - Accounting/Business (Minor)/Music (Minor),Senior,2022 - spring,1425
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1204
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1273
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1292
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1701
C-,C-,GRD,Business Administration - Business Administration,Junior,2022 - spring,2029
A-,A-,GRD,Intended - Business Admin (intended),Junior,2022 - spring,1434
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1441
A,A,GRD,Business Administration - Digital Forensics/Business (Minor)/Chinese Studies (Minor),Junior,2022 - spring,1556
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2022 - spring,1440
A-,A-,GRD,Intended - Accounting (intended),Junior,2022 - spring,1607
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,
A-,A-,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A-,A-,GRD,Business Administration - Business Administration,Junior,2022 - spring,1707
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1153
A,A,GRD,Business Administration - Business Administration/Sustainability (Minor),Junior,2022 - spring,2013
B,B,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec/Psychology (Minor)",Senior,2022 - spring,1130
A,A,GRD,Business Administration - Business Administration/Political Science (Minor),Senior,2022 - spring,1142
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1300
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1024
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor),Junior,2022 - spring,1186
A,A,GRD,Intended - Business Admin (intended),Sophomore,2022 - spring,1469
D-,D-,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,1708
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1632
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1980
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1012
A,A,GRD,Business Administration - Accounting/Biology (Minor)/Business (Minor),Senior,2022 - spring,1010
C,C,GRD,College of Arts and Sciences - Business Economics/Actuarial & Mathematical Sci,Junior,2022 - spring,1495
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1601
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,1660
E,E,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,
E,E,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1061
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1348
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Senior,2022 - spring,1409
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,
D+,D+,GRD,Business Administration - Business Administration,Senior,2022 - spring,1524
B,B,GRD,Business Administration - Business Administration,Junior,2022 - spring,1925
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,2085
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1596
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1414
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2022 - spring,
D+,D+,GRD,Intended - Business Economics (intended),Sophomore,2022 - spring,1429
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1814
B+,B+,GRD,Intended - Business Admin (intended),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1287
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1472
B+,B+,GRD,College of Arts and Sciences - Economics/Business (Minor),Junior,2022 - spring,
C,C,GRD,Intended - Business Admin (intended),Junior,2022 - spring,1996
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1271
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1283
