Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID
B-,B-,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 1,1154
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1165
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1168
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1211
A,A,GRD,Intended - Business Admin (intended)/Informatics (intended),Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1222
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1224
E,E,GRD,College of Arts and Sciences - Quantitative Eco&Data Analysis/Business (Minor)/Political Science (,Senior,2021 - Fall - session 1,1236
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1239
B+,B+,GRD,Business Administration - Business Administration/Law & Philosophy (Minor),Junior,2021 - Fall - session 1,1241
B+,B+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,2021 - Fall - session 1,1243
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 1,1246
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Statistics (Minor),Junior,2021 - Fall - session 1,1253
D,D,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 1,
I,E,GRD,College of Arts and Sciences - Communication/Business (Minor),Junior,2021 - Fall - session 1,1262
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1264
C+,C+,GRD,Business Administration - Business Administration/Informatics,Junior,2021 - Fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1290
E,E,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1297
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 1,1305
B,B,GRD,Business Administration - Business Administration/Psychology/Legal Studies (Minor),Junior,2021 - Fall - session 1,1307
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1311
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2021 - Fall - session 1,1312
B+,B+,GRD,Business Administration - Business Administration/Communication,Senior,2021 - Fall - session 1,1319
D,D,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 1,1344
C,C,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 1,1351
C+,C+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1356
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1377
B,B,GRD,College of Arts and Sciences - Business Economics/Sociology (Minor),Junior,2021 - Fall - session 1,1383
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 1,1393
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1402
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1410
B+,B+,GRD,College of Arts and Sciences - Psychology/Business (Minor),Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1422
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1431
B,B,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1435
D,D,GRD,College of Arts and Sciences - Business Economics/Criminal Justice (Minor),Junior,2021 - Fall - session 1,1445
C+,C+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1454
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,
B,B,GRD,Business Administration - Business Administration/Urban Std & Planning (Minor),Junior,2021 - Fall - session 1,
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 1,1479
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 1,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1496
A,A,GRD,Business Administration - Accounting/Business (Minor)/Criminal Justice (Minor),Senior,2021 - Fall - session 1,
B-,B-,GRD,"College of Arts and Sciences - Business Economics/EmerPrep,HomeldSec&Cybsec(Min)",Senior,2021 - Fall - session 1,1503
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1504
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1507
A,A,GRD,Business Administration - Business Administration/History (Minor)/Political Science (Minor),Senior,2021 - Fall - session 1,1525
A,A,GRD,Business Administration - Accounting/Business (Minor)/Psychology (Minor),Senior,2021 - Fall - session 1,1529
A,A,GRD,Business Administration - Business Administration/English (Minor),Junior,2021 - Fall - session 1,1544
C,C,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1551
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2021 - Fall - session 1,1552
C,C,GRD,Intended - Business Economics (intended),Junior,2021 - Fall - session 1,
A-,A-,GRD,Business Administration - Business Administration/Communication,Senior,2021 - Fall - session 1,1569
A,A,GRD,Business Administration - Business Administration/Urban Std & Planning (Minor),Junior,2021 - Fall - session 1,1575
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1577
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1587
A-,A-,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2021 - Fall - session 1,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1593
C+,C+,GRD,Business Administration - Accounting/Business (Minor)/Internat Studies (Minor),Senior,2021 - Fall - session 1,1594
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1600
B+,B+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1621
B,B,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1631
B-,B-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1641
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1678
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1680
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2021 - Fall - session 1,1683
D,D,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1689
C+,C+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1693
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1697
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Junior,2021 - Fall - session 1,1699
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1712
I,B-,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2021 - Fall - session 1,
,W,WDN,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1744
B+,B+,GRD,Business Administration - Business Administration/Economics (Minor),Senior,2021 - Fall - session 1,1745
C-,C-,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Junior,2021 - Fall - session 1,1748
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1750
C+,C+,GRD,College of Arts and Sciences - Business Economics/History (Minor),Senior,2021 - Fall - session 1,1773
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1784
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2021 - Fall - session 1,
B+,B+,GRD,Business Administration - Business Administration/Informatics (Minor),Senior,2021 - Fall - session 1,
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,2021 - Fall - session 1,1818
B-,B-,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2021 - Fall - session 1,1819
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 1,1820
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2021 - Fall - session 1,1832
A,A,GRD,Business Administration - Business Administration/Sociology,Senior,2021 - Fall - session 1,1843
D,D,GRD,Business Administration - Business Administration/Public Health (Minor),Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1845
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1846
A,A,GRD,Business Administration - Business Administration/Economics/Financial Market Regul (Minor)/Public,Junior,2021 - Fall - session 1,1847
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 1,1857
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1859
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1862
A,A,GRD,Business Administration - Business Administration/Art (Minor),Senior,2021 - Fall - session 1,1866
A,A,GRD,Business Administration - Accounting/Business (Minor)/Law & Philosophy (Minor),Senior,2021 - Fall - session 1,1872
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1882
B+,B+,GRD,Intended - Business Economics (intended)/Business Admin (intended),Junior,2021 - Fall - session 1,1886
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1895
C-,C-,GRD,College of Arts and Sciences - Business Economics/Creative Writing (Minor),Junior,2021 - Fall - session 1,1896
B+,B+,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1906
C-,C-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1912
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1923
D-,D-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1935
